filename,width,height,class,xmin,ymin,xmax,ymax
Capture.JPG,441,210,activity,8,91,219,119
Capture.JPG,441,210,app,5,130,441,197
Capture1.JPG,432,191,activity,8,85,223,125
Capture10.JPG,490,124,app,8,45,489,106
Capture10.JPG,490,124,activity,8,10,223,39
Capture13.JPG,347,159,activity,4,4,110,49
Capture13.JPG,347,159,app,4,62,347,134
Capture15.JPG,366,321,activity,4,75,114,121
Capture15.JPG,366,321,app,7,131,363,188
Capture15.JPG,366,321,app,5,201,361,258
Capture15.JPG,366,321,app,5,268,360,321
Capture16.JPG,356,128,activity,1,14,121,52
Capture16.JPG,356,128,app,5,65,352,120
Capture17.JPG,366,273,activity,7,77,118,120
Capture17.JPG,366,273,app,5,129,358,185
Capture17.JPG,366,273,app,7,199,360,255
Capture2.JPG,441,290,activity,8,88,195,115
Capture2.JPG,441,290,app,7,123,440,185
Capture2.JPG,441,290,app,5,192,437,257
Capture29.JPG,380,364,activity,33,113,146,157
Capture29.JPG,380,364,app,34,164,365,223
Capture29.JPG,380,364,app,32,227,363,286
Capture29.JPG,380,364,app,36,295,367,354
Capture3.JPG,439,338,activity,9,26,195,58
Capture3.JPG,439,338,app,8,67,435,131
Capture3.JPG,439,338,app,7,136,434,200
Capture3.JPG,439,338,app,8,209,435,273
Capture31.JPG,339,300,activity,5,20,114,63
Capture31.JPG,339,300,app,4,77,335,153
Capture31.JPG,339,300,app,2,162,337,219
Capture31.JPG,339,300,app,2,230,335,277
Capture35.JPG,356,231,activity,7,89,117,133
Capture35.JPG,356,231,app,4,144,351,215
Capture36.JPG,346,204,activity,5,92,113,135
Capture36.JPG,346,204,app,3,144,339,200
Capture37.JPG,495,220,activity,8,98,224,131
Capture37.JPG,495,220,app,8,138,495,208
Capture38.JPG,310,168,activity,5,6,105,44
Capture38.JPG,310,168,app,6,51,306,100
Capture38.JPG,310,168,app,4,112,304,161
Capture4.JPG,439,156,activity,6,86,198,115
Capture5.JPG,442,139,activity,8,86,195,108
Capture6.JPG,438,317,activity,5,252,195,281
Capture7.JPG,451,136,activity,13,27,201,56
Capture7.JPG,451,136,app,12,65,443,123
Captured1.JPG,485,328,activity,5,117,223,151
Captured1.JPG,485,328,app,2,158,483,251
Captured11.JPG,494,135,activity,6,95,242,130
Captured2.JPG,496,306,activity,7,14,231,52
Captured2.JPG,496,306,app,7,67,487,133
Captured2.JPG,496,306,app,7,140,487,206
captured4.JPG,482,299,app,1,75,475,167
captured4.JPG,482,299,app,1,183,474,282
captured4.JPG,482,299,activity,3,35,225,59
Captured9.JPG,501,276,activity,9,17,244,49
Captured9.JPG,501,276,app,12,60,497,149
Captured9.JPG,501,276,app,6,163,491,252
Captures20.JPG,496,244,activity,8,126,227,153
Captures20.JPG,496,244,app,8,168,486,233
Captures23.JPG,491,398,activity,4,262,217,294
Captures23.JPG,491,398,app,5,302,487,364
Captures25.JPG,499,668,activity,6,158,236,185
Captures25.JPG,499,668,app,4,214,492,305
Captures25.JPG,499,668,app,4,483,492,574
Captures25.JPG,499,668,app,9,317,493,389
Captures25.JPG,499,668,app,10,399,494,471
Captures26.JPG,497,489,activity,11,110,238,142
Captures26.JPG,497,489,app,11,166,497,255
Captures26.JPG,497,489,app,7,273,493,362
Captures26.JPG,497,489,app,5,392,491,481
frame1490.jpg,272,480,activity,5,378,93,411
frame1490.jpg,272,480,app,11,419,264,462
frame1500.jpg,272,480,activity,8,284,93,315
frame1500.jpg,272,480,app,10,324,263,365
frame1500.jpg,272,480,app,9,371,262,412
frame1530.jpg,272,480,activity,6,281,94,312
frame1530.jpg,272,480,app,8,321,262,364
frame1530.jpg,272,480,app,8,371,262,414
frame1540.jpg,272,480,activity,8,286,91,317
frame1540.jpg,272,480,app,6,326,264,370
frame1540.jpg,272,480,app,5,377,263,421
frame1560.jpg,272,480,activity,4,309,99,343
frame1560.jpg,272,480,app,8,350,263,389
frame1560.jpg,272,480,app,9,401,264,440
frame1570.jpg,272,480,app,6,353,265,392
frame1570.jpg,272,480,app,8,403,267,442
frame1570.jpg,272,480,activity,10,313,98,345
frame1580.jpg,272,480,activity,8,258,96,289
frame1580.jpg,272,480,app,6,298,264,339
frame1580.jpg,272,480,app,5,348,263,389
frame1580.jpg,272,480,app,7,399,265,440
frame1590.jpg,272,480,app,9,264,264,304
frame1590.jpg,272,480,app,8,316,263,356
frame1590.jpg,272,480,app,8,367,263,407
frame1590.jpg,272,480,app,8,416,263,456
frame1590.jpg,272,480,activity,9,224,95,255
frame1610.jpg,272,480,activity,6,188,102,220
frame1610.jpg,272,480,app,10,231,265,268
frame1610.jpg,272,480,app,9,281,266,318
frame1610.jpg,272,480,app,8,334,265,371
frame1610.jpg,272,480,app,7,386,264,423
frame1610.jpg,272,480,app,9,437,266,474
frame1620.jpg,272,480,activity,9,169,93,199
frame1620.jpg,272,480,app,10,210,266,249
frame1620.jpg,272,480,app,9,260,265,299
frame1620.jpg,272,480,app,7,310,263,349
frame1620.jpg,272,480,app,7,362,263,401
frame1620.jpg,272,480,app,7,414,263,453
frame1630.jpg,272,480,activity,7,145,93,179
frame1630.jpg,272,480,app,10,190,264,230
frame1630.jpg,272,480,app,10,237,264,277
frame1630.jpg,272,480,app,8,290,262,330
frame1630.jpg,272,480,app,8,341,262,381
frame1630.jpg,272,480,app,8,394,262,434
frame1640.jpg,272,480,app,10,174,264,211
frame1640.jpg,272,480,activity,8,133,93,164
frame1640.jpg,272,480,app,11,225,265,262
frame1640.jpg,272,480,app,10,274,264,311
frame1640.jpg,272,480,app,11,327,265,364
frame1640.jpg,272,480,app,9,380,263,417
frame1650.jpg,272,480,app,9,172,262,210
frame1650.jpg,272,480,activity,9,132,92,162
frame1650.jpg,272,480,app,8,221,264,260
frame1650.jpg,272,480,app,8,272,267,313
frame1650.jpg,272,480,app,7,324,263,363
frame1650.jpg,272,480,app,7,375,263,415
frame1670.jpg,272,480,activity,4,209,94,242
frame1670.jpg,272,480,app,6,251,264,291
frame1670.jpg,272,480,app,7,301,265,341
frame1670.jpg,272,480,app,7,352,265,392
frame1670.jpg,272,480,app,6,403,264,443
frame1680.jpg,272,480,app,11,282,264,321
frame1680.jpg,272,480,app,11,333,264,372
frame1680.jpg,272,480,app,9,384,262,423
frame1680.jpg,272,480,app,10,436,263,475
